title,competation,time,country
FAV Gaming vs Unsold Stuff Gaming,Pro League Season 10 Japan,"Thursday, Jun 20 2019, 15:00 UTC",Japan
G2 Esports vs Chaos,Pro League Season 10 Europe,"Friday, Jun 21 2019, 16:00 UTC",Europe
Father's Back vs GUTS Gaming,Pro League Season 10 Japan,"Thursday, Jun 20 2019, 13:00 UTC",Japan
Parallax Gaming vs DarkZero Esports,United States Nationals 2019,"Friday, Jun 21 2019, 2:00 UTC",North America
Team Empire vs PENTA Sports,Pro League Season 10 Europe,"Friday, Jun 21 2019, 17:15 UTC",Europe
LeStream Esport vs Mousesports,Pro League Season 10 Europe,"Friday, Jun 21 2019, 18:30 UTC",Europe
S7venSpades vs Parallax Gaming,United States Nationals 2019,"Friday, Jun 21 2019, 0:00 UTC",North America
Team Liquid vs Team oNe Esports,Pro League Season 10 Latin America,"Friday, Jun 21 2019, 22:00 UTC",Latin America
Team Vitality vs Natus Vincere,Pro League Season 10 Europe,"Friday, Jun 21 2019, 19:45 UTC",Europe
Immortals vs INTZ e-Sports,Pro League Season 10 Latin America,"Friday, Jun 21 2019, 23:15 UTC",Latin America
Immortals vs Red Devils e-Sports,Brasileirão 2019,"Sunday, Jun 9 2019, 23:00 UTC","LAN,"
Team Secret vs Team Liquid,Allied Esports Vegas Minor 2019,"Sunday, Jun 9 2019, 19:10 UTC","LAN,"
Black Dragons vs INTZ e-Sports,Brasileirão 2019,"Sunday, Jun 9 2019, 21:00 UTC","LAN,"
Team Secret vs LeStream Esport,Allied Esports Vegas Minor 2019,"Monday, Jun 10 2019, 1:00 UTC","LAN,"
Black Dragons vs Ninjas In Pyjamas,Brasileirão 2019,"Sunday, Jun 16 2019, 23:00 UTC","LAN,"
PENTA Sports vs Natus Vincere,Pro League Season 10 Europe,"Monday, Jun 17 2019, 16:00 UTC",Europe
LeStream Esport vs Chaos,Allied Esports Vegas Minor 2019,"Sunday, Jun 9 2019, 22:05 UTC","LAN,"
G2 Esports vs Mousesports,Pro League Season 10 Europe,"Monday, Jun 17 2019, 17:15 UTC",Europe
Pain Gaming vs FaZe Clan,Brasileirão 2019,"Sunday, Jun 16 2019, 21:00 UTC","LAN,"
Aerowolf vs MBT Impetus,Pro League Season 10 South-East Asia,"Wednesday, Jun 26 2019, 14:00 UTC",South-East Asia
LeStream Esport vs Chaos,Pro League Season 10 Europe,"Monday, Jun 17 2019, 18:30 UTC",Europe
Team Empire vs Team Vitality,Pro League Season 10 Europe,"Monday, Jun 17 2019, 19:45 UTC",Europe
Spacestation Gaming vs Rogue,Pro League Season 10 North America,"Tuesday, Jun 18 2019, 0:00 UTC",North America
DarkZero Esports vs Soniqs,Pro League Season 10 North America,"Tuesday, Jun 18 2019, 2:30 UTC",North America
Evil Geniuses vs Team Reciprocity,Pro League Season 10 North America,"Tuesday, Jun 18 2019, 1:15 UTC",North America
ForeignFive vs Os Leões,Benelux League Season 3,"Monday, Jun 3 2019, 19:00 UTC",Europe
Trust Gaming vs Flash Point,Benelux League Season 3,"Wednesday, Jun 5 2019, 17:00 UTC",Europe
Team Secret vs Soniqs,Allied Esports Vegas Minor 2019,"Friday, Jun 7 2019, 19:10 UTC","LAN,"
Ninjas In Pyjamas vs LeStream Esport,Allied Esports Vegas Minor 2019,"Friday, Jun 7 2019, 19:10 UTC","LAN,"
Rise Nation vs Team Vitality,Allied Esports Vegas Minor 2019,"Friday, Jun 7 2019, 20:25 UTC","LAN,"
DarkZero Esports vs Aerowolf,Allied Esports Vegas Minor 2019,"Friday, Jun 7 2019, 19:10 UTC","LAN,"
Os Leões vs El Whiz Wranglers,Benelux League Season 3,"Wednesday, Jun 5 2019, 18:00 UTC",Europe
Chaos vs Spacestation Gaming,Allied Esports Vegas Minor 2019,"Friday, Jun 7 2019, 20:25 UTC","LAN,"
Rogue vs Team oNe Esports,Allied Esports Vegas Minor 2019,"Friday, Jun 7 2019, 20:25 UTC","LAN,"
PENTA Sports vs 92 Dream Team,Allied Esports Vegas Minor 2019,"Friday, Jun 7 2019, 19:10 UTC","LAN,"
Chaos vs Disrupt Gaming,Allied Esports Vegas Minor 2019,"Friday, Jun 7 2019, 21:40 UTC","LAN,"
Team Liquid vs Disrupt Gaming,Allied Esports Vegas Minor 2019,"Friday, Jun 7 2019, 20:25 UTC","LAN,"
Team oNe Esports vs Team Vitality,Allied Esports Vegas Minor 2019,"Friday, Jun 7 2019, 21:40 UTC","LAN,"
Rogue vs Rise Nation,Allied Esports Vegas Minor 2019,"Friday, Jun 7 2019, 21:40 UTC","LAN,"
Spacestation Gaming vs Team Liquid,Allied Esports Vegas Minor 2019,"Friday, Jun 7 2019, 21:40 UTC","LAN,"
Soniqs vs 92 Dream Team,Allied Esports Vegas Minor 2019,"Friday, Jun 7 2019, 21:40 UTC","LAN,"
Immortals vs Black Dragons,Brasileirão 2019,"Sunday, May 5 2019, 21:00 UTC","LAN,"
Organized Chaos vs Disrupt Gaming,Challenger League Season 9 North America,"Tuesday, May 7 2019, 1:00 UTC",North America
Flash Point vs Elegance’s Minions,Benelux League Season 3,"Wednesday, May 8 2019, 18:00 UTC",Europe
Rise Nation vs Soniqs,Pro League Season 9 North America,"Tuesday, May 7 2019, 2:00 UTC",North America
Trust Gaming vs ForeignFive,Benelux League Season 3,"Wednesday, May 8 2019, 17:00 UTC",Europe
Team Liquid vs INTZ e-Sports,Brasileirão 2019,"Sunday, May 5 2019, 23:00 UTC","LAN,"
Soniqs vs 92 Dream Team,Challenger League Season 9 North America,"Tuesday, May 7 2019, 0:00 UTC",North America
Conquer Gaming vs Os Leões,Benelux League Season 3,"Wednesday, May 8 2019, 20:00 UTC",Europe
Team oNe Esports vs YeaH Gaming,Challenger League Season 9 Latin America,"Wednesday, May 8 2019, 22:00 UTC",Latin America
Red Devils e-Sports vs YeaH Gaming,Pro League Season 9 Latin America,"Wednesday, May 8 2019, 23:00 UTC",Latin America
Guidance Gaming vs Lowkey Esports,Challenger League Season 9 Latin America,"Wednesday, May 8 2019, 23:00 UTC",Latin America
Team Vitality vs MnM Gaming,Challenger League Season 9 Europe,"Friday, May 10 2019, 17:00 UTC",Europe
Trust Gaming vs Team GoSkilla,Challenger League Season 9 Europe,"Friday, May 10 2019, 18:00 UTC",Europe
Zoo Keepers vs El Whiz Wranglers,Benelux League Season 3,"Wednesday, May 8 2019, 19:00 UTC",Europe
Team Secret vs Team Vitality,Pro League Season 9 Europe,"Friday, May 10 2019, 19:00 UTC",Europe
Pain Gaming vs Team Liquid,Brasileirão 2019,"Sunday, May 12 2019, 23:00 UTC","LAN,"
Ninjas In Pyjamas vs FaZe Clan,Brasileirão 2019,"Sunday, May 12 2019, 21:00 UTC","LAN,"
Osh-Tekk Warriors vs Elders Empire,Future Esports Masters,"Tuesday, May 14 2019, 21:00 UTC",Middle East & North Africa
Soniqs vs Tune 6quad,Challenger League Season 9 North America,"Saturday, Apr 27 2019, 2:00 UTC",North America
Scillas Guerillas vs Disrupt Gaming,Challenger League Season 9 North America,"Saturday, Apr 27 2019, 3:00 UTC",North America
92 Dream Team vs Our Bad,Challenger League Season 9 North America,"Saturday, Apr 27 2019, 3:00 UTC",North America
SemOrg Team vs Lowkey Esports,Challenger League Season 9 Latin America,"Saturday, Apr 27 2019, 22:00 UTC",Latin America
XTreme Video vs Supremacy,CCS Season 4 Europe,"Saturday, Apr 27 2019, 17:00 UTC",Europe
Epsilon eSports vs Dizlown,CCS Season 4 Europe,"Saturday, Apr 27 2019, 19:00 UTC",Europe
MADZETES vs Guidance Gaming,Challenger League Season 9 Latin America,"Saturday, Apr 27 2019, 22:00 UTC",Latin America
WP Gaming vs YeaH Gaming,Challenger League Season 9 Latin America,"Saturday, Apr 27 2019, 22:00 UTC",Latin America
Team oNe Esports vs SG e-sports,Challenger League Season 9 Latin America,"Saturday, Apr 27 2019, 22:00 UTC",Latin America
SiNister Academy vs Ocean Creatures,CCS Season 4 North America,"Saturday, Apr 27 2019, 23:00 UTC",North America
MADZETES vs Lowkey Esports,Challenger League Season 9 Latin America,"Sunday, Apr 28 2019, 0:00 UTC",Latin America
WP Gaming vs SG e-sports,Challenger League Season 9 Latin America,"Sunday, Apr 28 2019, 0:00 UTC",Latin America
XTreme Video vs Epsilon eSports,CCS Season 4 Europe,"Sunday, Apr 28 2019, 17:00 UTC",Europe
SemOrg Team vs Guidance Gaming,Challenger League Season 9 Latin America,"Sunday, Apr 28 2019, 0:00 UTC",Latin America
Supremacy vs Dizlown,CCS Season 4 Europe,"Sunday, Apr 28 2019, 19:00 UTC",Europe
Team oNe Esports vs WP Gaming,Challenger League Season 9 Latin America,"Sunday, Apr 28 2019, 22:00 UTC",Latin America
Team oNe Esports vs YeaH Gaming,Challenger League Season 9 Latin America,"Sunday, Apr 28 2019, 0:00 UTC",Latin America
FaZe Clan vs Red Devils e-Sports,Brasileirão 2019,"Sunday, Apr 28 2019, 21:00 UTC","LAN,"
SG e-sports vs YeaH Gaming,Challenger League Season 9 Latin America,"Sunday, Apr 28 2019, 22:00 UTC",Latin America
Ocean Creatures vs Altis Police Department,CCS Season 4 North America,"Sunday, Apr 28 2019, 23:00 UTC",North America
Organized Chaos vs Altis Police Department,CCS Season 4 North America,"Sunday, Apr 28 2019, 1:00 UTC",North America
Disrupt Gaming vs Organized Chaos,Challenger League Season 9 North America,"Saturday, Apr 20 2019, 1:00 UTC",North America
Elevate vs Tune 6quad,Challenger League Season 9 North America,"Saturday, Apr 20 2019, 2:00 UTC",North America
Our Bad vs Soniqs,Challenger League Season 9 North America,"Saturday, Apr 20 2019, 1:00 UTC",North America
Guidance Gaming vs Lowkey Esports,Challenger League Season 9 Latin America,"Sunday, Apr 28 2019, 22:00 UTC",Latin America
92 Dream Team vs Scillas Guerillas,Challenger League Season 9 North America,"Saturday, Apr 20 2019, 2:00 UTC",North America
Organized Chaos vs Soniqs,Challenger League Season 9 North America,"Saturday, Apr 20 2019, 3:00 UTC",North America
Our Bad vs Disrupt Gaming,Challenger League Season 9 North America,"Saturday, Apr 20 2019, 3:00 UTC",North America
Supremacy vs XTreme Video,Challenger League Season 9 Europe,"Monday, Apr 22 2019, 17:00 UTC",Europe
MnM Gaming vs Team GoSkilla,Challenger League Season 9 Europe,"Monday, Apr 22 2019, 17:00 UTC",Europe
Trust Gaming vs PACT,Challenger League Season 9 Europe,"Monday, Apr 22 2019, 18:00 UTC",Europe
EnD Gaming vs Team Vitality,Challenger League Season 9 Europe,"Monday, Apr 22 2019, 18:00 UTC",Europe
Supremacy vs MnM Gaming,Challenger League Season 9 Europe,"Monday, Apr 22 2019, 19:00 UTC",Europe
Team GoSkilla vs XTreme Video,Challenger League Season 9 Europe,"Monday, Apr 22 2019, 19:00 UTC",Europe
PACT vs Team Vitality,Challenger League Season 9 Europe,"Monday, Apr 22 2019, 20:00 UTC",Europe
EnD Gaming vs Trust Gaming,Challenger League Season 9 Europe,"Monday, Apr 22 2019, 20:00 UTC",Europe
Elevate vs Scillas Guerillas,Challenger League Season 9 North America,"Saturday, Apr 20 2019, 0:00 UTC",North America
Lowkey Esports vs YeaH Gaming,Challenger League Season 9 Latin America,"Saturday, Apr 13 2019, 22:00 UTC",Latin America
MADZETES vs Team oNe Esports,Challenger League Season 9 Latin America,"Saturday, Apr 13 2019, 22:00 UTC",Latin America
SemOrg Team vs WP Gaming,Challenger League Season 9 Latin America,"Saturday, Apr 13 2019, 23:00 UTC",Latin America
Guidance Gaming vs SG e-sports,Challenger League Season 9 Latin America,"Saturday, Apr 13 2019, 23:00 UTC",Latin America
SemOrg Team vs SG e-sports,Challenger League Season 9 Latin America,"Sunday, Apr 14 2019, 1:00 UTC",Latin America
Lowkey Esports vs Team oNe Esports,Challenger League Season 9 Latin America,"Sunday, Apr 14 2019, 0:00 UTC",Latin America
Guidance Gaming vs WP Gaming,Challenger League Season 9 Latin America,"Sunday, Apr 14 2019, 1:00 UTC",Latin America
NORA-Rengo vs Xavier Esports,Pro League Season 9 Asia-Pacific Finals,"Sunday, Apr 14 2019, 0:00 UTC","LAN,"
Black Dragons vs Pain Gaming,Brasileirão 2019,"Sunday, Apr 14 2019, 21:00 UTC","LAN,"
NORA-Rengo vs Fnatic,Pro League Season 9 Asia-Pacific Finals,"Sunday, Apr 14 2019, 5:00 UTC","LAN,"
MADZETES vs YeaH Gaming,Challenger League Season 9 Latin America,"Sunday, Apr 14 2019, 0:00 UTC",Latin America
Fnatic vs Aerowolf,Pro League Season 9 Asia-Pacific Finals,"Sunday, Apr 14 2019, 2:30 UTC","LAN,"
XTreme Video vs EnD Gaming,Challenger League Season 9 Europe,"Monday, Apr 15 2019, 17:00 UTC",Europe
Immortals vs Team Liquid,Brasileirão 2019,"Sunday, Apr 14 2019, 23:00 UTC","LAN,"
Supremacy vs Team Vitality,Challenger League Season 9 Europe,"Monday, Apr 15 2019, 18:00 UTC",Europe
MnM Gaming vs PACT,Challenger League Season 9 Europe,"Monday, Apr 15 2019, 17:00 UTC",Europe
Team GoSkilla vs Trust Gaming,Challenger League Season 9 Europe,"Monday, Apr 15 2019, 18:00 UTC",Europe
MnM Gaming vs XTreme Video,Challenger League Season 9 Europe,"Monday, Apr 15 2019, 19:00 UTC",Europe
EnD Gaming vs PACT,Challenger League Season 9 Europe,"Monday, Apr 15 2019, 19:00 UTC",Europe
Trust Gaming vs Team Vitality,Challenger League Season 9 Europe,"Monday, Apr 15 2019, 20:00 UTC",Europe
Team oNe Esports vs WP Gaming,Challenger League Season 9 Latin America,"Saturday, Apr 6 2019, 22:00 UTC",Latin America
Guidance Gaming vs Lowkey Esports,Challenger League Season 9 Latin America,"Saturday, Apr 6 2019, 22:00 UTC",Latin America
SG e-sports vs YeaH Gaming,Challenger League Season 9 Latin America,"Saturday, Apr 6 2019, 22:00 UTC",Latin America
Lowkey Esports vs WP Gaming,Challenger League Season 9 Latin America,"Sunday, Apr 7 2019, 0:00 UTC",Latin America
Guidance Gaming vs Team oNe Esports,Challenger League Season 9 Latin America,"Sunday, Apr 7 2019, 0:00 UTC",Latin America
MADZETES vs SG e-sports,Challenger League Season 9 Latin America,"Sunday, Apr 7 2019, 0:00 UTC",Latin America
SemOrg Team vs YeaH Gaming,Challenger League Season 9 Latin America,"Sunday, Apr 7 2019, 0:00 UTC",Latin America
FaZe Clan vs INTZ e-Sports,Brasileirão 2019,"Sunday, Apr 7 2019, 21:00 UTC","LAN,"
Ninjas In Pyjamas vs Red Devils e-Sports,Brasileirão 2019,"Sunday, Apr 7 2019, 23:00 UTC","LAN,"
Team GoSkilla vs EnD Gaming,Challenger League Season 9 Europe,"Monday, Apr 8 2019, 17:00 UTC",Europe
Supremacy vs PACT,Challenger League Season 9 Europe,"Monday, Apr 8 2019, 17:00 UTC",Europe
XTreme Video vs Trust Gaming,Challenger League Season 9 Europe,"Monday, Apr 8 2019, 18:00 UTC",Europe
MnM Gaming vs Team Vitality,Challenger League Season 9 Europe,"Monday, Apr 8 2019, 18:00 UTC",Europe
Team GoSkilla vs PACT,Challenger League Season 9 Europe,"Monday, Apr 8 2019, 19:00 UTC",Europe
XTreme Video vs Team Vitality,Challenger League Season 9 Europe,"Monday, Apr 8 2019, 20:00 UTC",Europe
MnM Gaming vs Trust Gaming,Challenger League Season 9 Europe,"Monday, Apr 8 2019, 20:00 UTC",Europe
Supremacy vs Trust Gaming,Challenger League Season 9 Europe,"Monday, Apr 1 2019, 20:00 UTC",Europe
Excelerate Gaming vs Rise Nation,Pro League Season 9 North America,"Tuesday, Apr 9 2019, 0:00 UTC",North America
SemOrg Team vs Lowkey Esports,Challenger League Season 9 Latin America,"Saturday, Mar 30 2019, 22:00 UTC",Latin America
MADZETES vs Lowkey Esports,Challenger League Season 9 Latin America,"Sunday, Mar 31 2019, 0:00 UTC",Latin America
Team oNe Esports vs YeaH Gaming,Challenger League Season 9 Latin America,"Sunday, Mar 31 2019, 0:00 UTC",Latin America
Supremacy vs EnD Gaming,Challenger League Season 9 Europe,"Monday, Apr 8 2019, 19:00 UTC",Europe
SemOrg Team vs Guidance Gaming,Challenger League Season 9 Latin America,"Sunday, Mar 31 2019, 0:00 UTC",Latin America
Pain Gaming vs Red Devils e-Sports,Brasileirão 2019,"Sunday, Mar 31 2019, 21:00 UTC","LAN,"
WP Gaming vs SG e-sports,Challenger League Season 9 Latin America,"Sunday, Mar 31 2019, 0:00 UTC",Latin America
Team GoSkilla vs XTreme Video,Challenger League Season 9 Europe,"Monday, Apr 1 2019, 18:00 UTC",Europe
PACT vs Team Vitality,Challenger League Season 9 Europe,"Monday, Apr 1 2019, 18:00 UTC",Europe
Supremacy vs MnM Gaming,Challenger League Season 9 Europe,"Monday, Apr 1 2019, 19:00 UTC",Europe
XTreme Video vs PACT,Challenger League Season 9 Europe,"Monday, Apr 1 2019, 20:00 UTC",Europe
Team Liquid vs Black Dragons,Brasileirão 2019,"Sunday, Mar 31 2019, 23:00 UTC","LAN,"
EnD Gaming vs Trust Gaming,Challenger League Season 9 Europe,"Monday, Apr 1 2019, 19:00 UTC",Europe
MnM Gaming vs EnD Gaming,Challenger League Season 9 Europe,"Monday, Apr 1 2019, 21:00 UTC",Europe
Team GoSkilla vs Team Vitality,Challenger League Season 9 Europe,"Monday, Apr 1 2019, 21:00 UTC",Europe
Rogue vs Team Reciprocity,Pro League Season 9 North America,"Tuesday, Apr 2 2019, 0:00 UTC",North America
DarkZero Esports vs Excelerate Gaming,Pro League Season 9 North America,"Tuesday, Apr 2 2019, 1:00 UTC",North America
Evil Geniuses vs Rise Nation,Pro League Season 9 North America,"Tuesday, Apr 2 2019, 2:00 UTC",North America
Trust Gaming vs PACT,Challenger League Season 9 Europe,"Monday, Mar 25 2019, 21:00 UTC",Europe
Evil Geniuses vs Rogue,Pro League Season 9 North America,"Tuesday, Mar 26 2019, 0:00 UTC",North America
Rise Nation vs Team Reciprocity,Pro League Season 9 North America,"Tuesday, Mar 26 2019, 1:00 UTC",North America
Spacestation Gaming vs DarkZero Esports,Pro League Season 9 North America,"Tuesday, Mar 26 2019, 2:00 UTC",North America
Mindfreak vs TBD,Pro League Season 9 Australia & New Zealand,"Wednesday, Mar 27 2019, 8:00 UTC",Australia & New Zealand
Fnatic vs 0RGL3SS,Pro League Season 9 Australia & New Zealand,"Wednesday, Mar 27 2019, 8:00 UTC",Australia & New Zealand
Fnatic vs 0RGL3SS,Pro League Season 9 Australia & New Zealand,"Wednesday, Mar 27 2019, 8:00 UTC",Australia & New Zealand
NORA-Rengo vs Sengoku,Pro League Season 9 Japan,"Wednesday, Mar 27 2019, 12:00 UTC",Japan
Oddity Esports vs Ex Nihilo,Pro League Season 9 Australia & New Zealand,"Wednesday, Mar 27 2019, 9:30 UTC",Australia & New Zealand
Mindfreak vs TBD,Pro League Season 9 Australia & New Zealand,"Wednesday, Mar 27 2019, 8:00 UTC",Australia & New Zealand
NORA-Rengo vs Sengoku,Pro League Season 9 Japan,"Wednesday, Mar 27 2019, 12:00 UTC",Japan
Oddity Esports vs Ex Nihilo,Pro League Season 9 Australia & New Zealand,"Wednesday, Mar 27 2019, 9:30 UTC",Australia & New Zealand
FAV Gaming vs Father's Back,Pro League Season 9 Japan,"Wednesday, Mar 27 2019, 12:00 UTC",Japan
FAV Gaming vs Father's Back,Pro League Season 9 Japan,"Wednesday, Mar 27 2019, 13:00 UTC",Japan
CYCLOPS athlete gaming vs SCARZ,Pro League Season 9 Japan,"Wednesday, Mar 27 2019, 13:30 UTC",Japan
0RGL3SS vs Extricity,Oceanic Cup 2019,"Friday, Mar 22 2019, 23:00 UTC","LAN,"
Oddity Esports vs Avant Gaming,Pro League Season 9 Australia & New Zealand,"Thursday, Mar 21 2019, 9:15 UTC",Australia & New Zealand
Oddity Esports vs Avant Gaming,Pro League Season 9 Australia & New Zealand,"Thursday, Mar 21 2019, 10:30 UTC",Australia & New Zealand
CYCLOPS athlete gaming vs AFFLICT ReV,Pro League Season 9 Japan,"Thursday, Mar 21 2019, 14:15 UTC",Japan
Team Secret vs LeStream Esport,Pro League Season 9 Europe,"Friday, Mar 22 2019, 18:00 UTC",Europe
G2 Esports vs Mousesports,Pro League Season 9 Europe,"Friday, Mar 22 2019, 20:00 UTC",Europe
Natus Vincere vs Team Empire,Pro League Season 9 Europe,"Friday, Mar 22 2019, 19:00 UTC",Europe
PENTA Sports vs Chaos,Pro League Season 9 Europe,"Friday, Mar 22 2019, 21:00 UTC",Europe
CYCLOPS athlete gaming vs AFFLICT ReV,Pro League Season 9 Japan,"Thursday, Mar 21 2019, 13:30 UTC",Japan
Disrupt Gaming vs Tune 6quad,Challenger League Season 9 North America,"Saturday, Mar 23 2019, 0:00 UTC",North America
Vicious Gaming vs Organized Chaos,Challenger League Season 9 North America,"Saturday, Mar 23 2019, 0:00 UTC",North America
Scillas Guerillas vs Soniqs,Challenger League Season 9 North America,"Saturday, Mar 23 2019, 1:00 UTC",North America
Bittersweet vs Altis Police Department,CCS Season 4 North America,"Saturday, Mar 23 2019, 0:00 UTC",North America
Team Reciprocity vs Ocean Creatures,CCS Season 4 North America,"Saturday, Mar 23 2019, 2:00 UTC",North America
Ex Nihilo vs Fnatic,Oceanic Cup 2019,"Saturday, Mar 23 2019, 2:00 UTC","LAN,"
Our Bad vs Elevate,Challenger League Season 9 North America,"Saturday, Mar 23 2019, 1:00 UTC",North America
Scillas Guerillas vs Elevate,Challenger League Season 9 North America,"Saturday, Mar 23 2019, 2:00 UTC",North America
Nemesis Esports vs SiNister Academy,CCS Season 4 North America,"Thursday, Mar 21 2019, 2:00 UTC",North America
MADZETES vs WP Gaming,Challenger League Season 9 Latin America,"Saturday, Mar 16 2019, 22:00 UTC",Latin America
Our Bad vs Tune 6quad,Challenger League Season 9 North America,"Saturday, Mar 16 2019, 3:00 UTC",North America
SemOrg Team vs Team oNe Esports,Challenger League Season 9 Latin America,"Saturday, Mar 16 2019, 22:00 UTC",Latin America
Lowkey Esports vs SG e-sports,Challenger League Season 9 Latin America,"Saturday, Mar 16 2019, 22:00 UTC",Latin America
SemOrg Team vs Team oNe Esports,Challenger League Season 9 Latin America,"Saturday, Mar 16 2019, 22:00 UTC",Latin America
Guidance Gaming vs YeaH Gaming,Challenger League Season 9 Latin America,"Saturday, Mar 16 2019, 22:00 UTC",Latin America
MADZETES vs WP Gaming,Challenger League Season 9 Latin America,"Saturday, Mar 16 2019, 23:00 UTC",Latin America
Guidance Gaming vs YeaH Gaming,Challenger League Season 9 Latin America,"Saturday, Mar 16 2019, 23:00 UTC",Latin America
Dizlown vs Unnamed,CCS Season 4 Europe,"Monday, Mar 18 2019, 18:00 UTC",Europe
INTZ e-Sports vs Pain Gaming,Brasileirão 2019,"Sunday, Mar 17 2019, 21:00 UTC","LAN,"
Lowkey Esports vs SG e-sports,Challenger League Season 9 Latin America,"Saturday, Mar 16 2019, 23:00 UTC",Latin America
Black Dragons vs Red Devils e-Sports,Brasileirão 2019,"Sunday, Mar 17 2019, 23:00 UTC","LAN,"
XTreme Video vs Team Vitality,Challenger League Season 9 Europe,"Monday, Mar 18 2019, 19:00 UTC",Europe
MnM Gaming vs Trust Gaming,Challenger League Season 9 Europe,"Monday, Mar 18 2019, 18:00 UTC",Europe
ex-NYYRIKKI vs PACT,Challenger League Season 9 Europe,"Monday, Mar 18 2019, 18:00 UTC",Europe
Supremacy vs EnD Gaming,Challenger League Season 9 Europe,"Monday, Mar 18 2019, 19:00 UTC",Europe
ex-NYYRIKKI vs EnD Gaming,Challenger League Season 9 Europe,"Monday, Mar 11 2019, 21:00 UTC",Europe
MnM Gaming vs Team Vitality,Challenger League Season 9 Europe,"Monday, Mar 11 2019, 21:00 UTC",Europe
Supremacy vs PACT,Challenger League Season 9 Europe,"Monday, Mar 11 2019, 20:00 UTC",Europe
DarkZero Esports vs Team Reciprocity,Pro League Season 9 North America,"Tuesday, Mar 12 2019, 0:00 UTC",North America
Spacestation Gaming vs Rise Nation,Pro League Season 9 North America,"Tuesday, Mar 12 2019, 1:00 UTC",North America
Rogue vs Excelerate Gaming,Pro League Season 9 North America,"Tuesday, Mar 12 2019, 2:00 UTC",North America
Fnatic vs Oddity Esports,Pro League Season 9 Australia & New Zealand,"Wednesday, Mar 13 2019, 9:00 UTC",Australia & New Zealand
Fnatic vs Oddity Esports,Pro League Season 9 Australia & New Zealand,"Wednesday, Mar 13 2019, 8:00 UTC",Australia & New Zealand
0RGL3SS vs ex-Darkside,Pro League Season 9 Australia & New Zealand,"Wednesday, Mar 13 2019, 10:00 UTC",Australia & New Zealand
0RGL3SS vs ex-Darkside,Pro League Season 9 Australia & New Zealand,"Wednesday, Mar 13 2019, 11:00 UTC",Australia & New Zealand
NORA-Rengo vs CYCLOPS athlete gaming,Pro League Season 9 Japan,"Wednesday, Mar 13 2019, 12:00 UTC",Japan
Sengoku vs FAV Gaming,Pro League Season 9 Japan,"Wednesday, Mar 13 2019, 15:00 UTC",Japan
Supremacy vs Nordik Esport,CCS Season 4 Europe,"Wednesday, Mar 13 2019, 17:00 UTC",Europe
XTreme Video vs Unnamed,CCS Season 4 Europe,"Wednesday, Mar 13 2019, 19:00 UTC",Europe
Sengoku vs FAV Gaming,Pro League Season 9 Japan,"Wednesday, Mar 13 2019, 14:00 UTC",Japan
NORA-Rengo vs CYCLOPS athlete gaming,Pro League Season 9 Japan,"Wednesday, Mar 13 2019, 13:00 UTC",Japan
FaZe Clan vs Ninjas In Pyjamas,Pro League Season 9 Latin America,"Wednesday, Mar 13 2019, 22:00 UTC",Latin America
Immortals vs Team Liquid,Pro League Season 9 Latin America,"Thursday, Mar 14 2019, 0:00 UTC",Latin America
INTZ e-Sports vs Pain Gaming,Pro League Season 9 Latin America,"Wednesday, Mar 13 2019, 21:00 UTC",Latin America
Global Breakout vs Organized Chaos,CCS Season 4 North America,"Thursday, Mar 14 2019, 0:00 UTC",North America
Rogue vs Spacestation Gaming,Six Invitational 2019,"Monday, Feb 11 2019, 18:00 UTC","LAN,"
Black Dragons vs Red Devils e-Sports,Pro League Season 9 Latin America,"Wednesday, Mar 13 2019, 23:00 UTC",Latin America
Team Liquid vs Mock-it-Esports,Six Invitational 2019,"Monday, Feb 11 2019, 20:40 UTC","LAN,"
G2 Esports vs Mantis FPS,Six Invitational 2019,"Monday, Feb 11 2019, 20:40 UTC","LAN,"
PENTA Sports vs NORA-Rengo,Six Invitational 2019,"Monday, Feb 11 2019, 23:30 UTC","LAN,"
Ninjas In Pyjamas vs Team Reciprocity,Six Invitational 2019,"Tuesday, Feb 12 2019, 15:10 UTC","LAN,"
FaZe Clan vs Fnatic,Six Invitational 2019,"Tuesday, Feb 12 2019, 15:10 UTC","LAN,"
Evil Geniuses vs LeStream Esport,Six Invitational 2019,"Monday, Feb 11 2019, 23:30 UTC","LAN,"
Rogue vs Immortals,Six Invitational 2019,"Tuesday, Feb 12 2019, 18:00 UTC","LAN,"
Spacestation Gaming vs Team Empire,Six Invitational 2019,"Tuesday, Feb 12 2019, 18:00 UTC","LAN,"
Team Liquid vs Mantis FPS,Six Invitational 2019,"Tuesday, Feb 12 2019, 22:10 UTC","LAN,"
Evil Geniuses vs NORA-Rengo,Six Invitational 2019,"Tuesday, Feb 12 2019, 23:30 UTC","LAN,"
LeStream Esport vs PENTA Sports,Six Invitational 2019,"Tuesday, Feb 12 2019, 23:30 UTC","LAN,"
G2 Esports vs Mock-it-Esports,Six Invitational 2019,"Tuesday, Feb 12 2019, 20:40 UTC","LAN,"
Spacestation Gaming vs Immortals,Six Invitational 2019,"Wednesday, Feb 13 2019, 18:00 UTC","LAN,"
Team Reciprocity vs FaZe Clan,Six Invitational 2019,"Wednesday, Feb 13 2019, 15:10 UTC","LAN,"
Team Liquid vs Mock-it-Esports,Six Invitational 2019,"Wednesday, Feb 13 2019, 20:40 UTC","LAN,"
